id	speaker	headline	URL	description	transcript_URL	month_filmed	year_filmed	event	duration	date_published	tags
11	Jane Goodall	What separates us from chimpanzees?	http://www.ted.com/talks/view/id/11	"Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world."	http://www.ted.com/talks/view/id/11/transcript?language=en	2	2003	TED2002	0:27:25	4/5/07	"primates,Africa,culture,science,environment,animals,nature,global issues"
12	Eva Vertes	Meet the future of cancer research	http://www.ted.com/talks/view/id/12	Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimerâ€™s.	http://www.ted.com/talks/view/id/12/transcript?language=en	2	2005	TED2005	0:18:49	10/2/06	"wunderkind,cancer,disease,health,science,technology"
13	Frank Gehry	"A master architect asks, Now what?"	http://www.ted.com/talks/view/id/13	"In a wildly entertaining discussion with Richard Saul Wurman, architect Frank Gehry gives TEDsters his take on the power of failure, his recent buildings, and the all-important ""Then what?"" factor."	http://www.ted.com/talks/view/id/13/transcript?language=en	2	2002	TED2002	0:22:00	1/17/08	"invention,interview,culture,architecture,design,creativity,business"
14	Golan Levin	Software (as) art	http://www.ted.com/talks/view/id/14	"Engineer and artist Golan Levin pushes the boundaries of what's possible with audiovisuals and technology. In an amazing TED display, he shows two programs he wrote to perform his original compositions."	http://www.ted.com/talks/view/id/14/transcript?language=en	2	2004	TED2004	0:14:53	4/5/07	"invention,software,music,entertainment,performance,technology,art"
16	Helen Fisher	"Why we love, why we cheat"	http://www.ted.com/talks/view/id/16	"Anthropologist Helen Fisher takes on a tricky topic -- love -- and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse."	http://www.ted.com/talks/view/id/16/transcript?language=en	2	2006	TED2006	0:23:27	9/6/06	"love,gender,relationships,cognitive science,psychology,evolution,culture,science"
18	Janine Benyus	Biomimicry's surprising lessons from nature's engineers	http://www.ted.com/talks/view/id/18	"In this inspiring talk about recent developments in biomimicry, Janine Benyus provides heartening examples of ways in which nature is already influencing the products and systems we build."	http://www.ted.com/talks/view/id/18/transcript?language=en	2	2005	TED2005	0:23:19	4/5/07	"biomimicry,DNA,evolution,biology,fish,science,environment,animals,design,technology"
19	Kevin Kelly	How technology evolves	http://www.ted.com/talks/view/id/19	"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life."	http://www.ted.com/talks/view/id/19/transcript?language=en	2	2005	TED2005	0:20:00	11/14/06	"philosophy,evolution,culture,choice,history,science,future,technology"
20	Malcolm Gladwell	"Choice, happiness and spaghetti sauce"	http://www.ted.com/talks/view/id/20	"""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness."	http://www.ted.com/talks/view/id/20/transcript?language=en	2	2004	TED2004	0:17:30	9/19/06	"consumerism,marketing,economics,culture,media,food,choice,storytelling,business"
21	Mena Trott	Meet the founder of the blog revolution	http://www.ted.com/talks/view/id/21	"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world."	http://www.ted.com/talks/view/id/21/transcript?language=en	2	2006	TED2006	0:16:46	8/25/06	"software,culture,design,entertainment,storytelling,business,communication,community"
22	Michael Shermer	Why people believe weird things	http://www.ted.com/talks/view/id/22	"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts."	http://www.ted.com/talks/view/id/22/transcript?language=en	2	2006	TED2006	0:13:25	11/8/06	"faith,illusion,culture,religion,science,entertainment"
23	Peter Gabriel	Fight injustice with raw video	http://www.ted.com/talks/view/id/23	Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.	http://www.ted.com/talks/view/id/23/transcript?language=en	2	2006	TED2006	0:14:08	12/6/06	"TED Brain Trust,film,culture,music,activism,social change,storytelling,global issues,collaboration,art"
24	Pilobolus	"A dance of ""Symbiosis"""	http://www.ted.com/talks/view/id/24	"Two Pilobolus dancers perform ""Symbiosis."" Does it trace the birth of a relationship? Or the co-evolution of symbiotic species? Music: ""God Music,"" George Crumb; ""Fratres,"" Arvo Part; ""Morango...Almost a Tango,"" Thomas Oboe Lee."	http://www.ted.com/talks/view/id/24/transcript?language=en	2	2005	TED2005	0:13:45	2/9/07	"dance,science and art,science,nature,entertainment,performance"
25	Richard Baraniuk	The birth of the open-source learning revolution	http://www.ted.com/talks/view/id/25	"In 2006, open-learning visionary Richard Baraniuk explains the vision behind Connexions (now called OpenStax), an open-source, online education system. It cuts out the textbook, allowing teachers to share and modify course materials freely, anywhere in the world."	http://www.ted.com/talks/view/id/25/transcript?language=en	2	2006	TED2006	0:18:34	8/21/06	"open-source,library,education,culture,global issues,technology,business,collaboration"
26	Rives	If I controlled the Internet	http://www.ted.com/talks/view/id/26	"How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent."	http://www.ted.com/talks/view/id/26/transcript?language=en	11	2006	TEDSalon 2006	0:04:07	12/14/06	"love,poetry,philosophy,culture,entertainment,performance"
27	Ross Lovegrove	"Organic design, inspired by nature"	http://www.ted.com/talks/view/id/27	"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair."	http://www.ted.com/talks/view/id/27/transcript?language=en	2	2005	TED2005	0:19:30	8/15/06	"industrial design,invention,product design,science and art,DNA,biology,nature,design,creativity"
28	Seth Godin	How to get your ideas to spread	http://www.ted.com/talks/view/id/28	"In a world of too many options and too little time, our obvious choice is to just ignore the ordinary stuff. Marketing guru Seth Godin spells out why, when it comes to getting our attention, bad or bizarre ideas are more successful than boring ones."	http://www.ted.com/talks/view/id/28/transcript?language=en	2	2003	TED2003	0:17:01	4/5/07	"TED Brain Trust,marketing,culture,choice,storytelling,business"
29	Steven Levitt	The freakonomics of crack dealing	http://www.ted.com/talks/view/id/29	"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you."	http://www.ted.com/talks/view/id/29/transcript?language=en	2	2004	TED2004	0:21:15	9/19/06	"narcotics,race,economics,culture,cities,business"
30	Steven Levitt	Surprising stats about child carseats	http://www.ted.com/talks/view/id/30	"Steven Levitt shares data that shows car seats are no more effective than seatbelts in protecting kids from dying in cars. However, during the question and answer session, he makes one crucial caveat."	http://www.ted.com/talks/view/id/30/transcript?language=en	7	2005	TEDGlobal 2005	0:18:58	6/24/08	"cars,transportation,statistics,economics,culture,parenting,business"
31	Thom Mayne	How architecture can connect us	http://www.ted.com/talks/view/id/31	"Architect Thom Mayne has never been one to take the easy option, and this whistle-stop tour of the buildings he's created makes you glad for it. These are big ideas cast in material form."	http://www.ted.com/talks/view/id/31/transcript?language=en	2	2005	TED2005	0:20:40	4/5/07	"invention,culture,architecture,cities,design"
32	Vik Muniz	"Art with wire, sugar, chocolate and string"	http://www.ted.com/talks/view/id/32	"Vik Muniz makes art from pretty much anything, be it shredded paper, wire, clouds or diamonds. Here he describes the thinking behind his work and takes us on a tour of his incredible images."	http://www.ted.com/talks/view/id/32/transcript?language=en	2	2003	TED2003	0:14:51	4/5/07	"Brazil,illusion,animation,design,creativity,art"
33	Thomas Barnett	Let's rethink America's military strategy	http://www.ted.com/talks/view/id/33	"In this bracingly honest talk, international security strategist Thomas Barnett outlines a post-Cold War solution for the foundering U.S. military that is both sensible and breathtaking in its simplicity: Break it in two."	http://www.ted.com/talks/view/id/33/transcript?language=en	2	2005	TED2005	0:23:22	6/14/07	"military,terrorism,culture,war,global issues,technology,peace"
34	Phil Borges	Photos of endangered cultures	http://www.ted.com/talks/view/id/34	"Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them."	http://www.ted.com/talks/view/id/34/transcript?language=en	2	2006	TED2006	0:18:35	1/9/07	"photography,education,film,culture,activism,social change,design,storytelling,global issues,art"
35	James Watson	How we discovered DNA	http://www.ted.com/talks/view/id/35	"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA."	http://www.ted.com/talks/view/id/35/transcript?language=en	2	2005	TED2005	0:20:11	4/5/07	"invention,genetics,DNA,culture,history,science,storytelling,technology"
36	Robert Neuwirth	The hidden world of shadow cities	http://www.ted.com/talks/view/id/36	"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour."	http://www.ted.com/talks/view/id/36/transcript?language=en	7	2005	TEDGlobal 2005	0:14:03	1/2/07	"poverty,culture,politics,social change,policy,global development,entrepreneur,cities,future,global issues,business"
37	Jimmy Wales	The birth of Wikipedia	http://www.ted.com/talks/view/id/37	"Jimmy Wales recalls how he assembled ""a ragtag band of volunteers,"" gave them tools for collaborating and created Wikipedia, the self-organizing, self-correcting, never-finished online encyclopedia."	http://www.ted.com/talks/view/id/37/transcript?language=en	7	2005	TEDGlobal 2005	0:20:01	8/21/06	"wikipedia,open-source,invention,culture,media,technology,business,collaboration"
38	Ray Kurzweil	The accelerating power of technology	http://www.ted.com/talks/view/id/38	"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness."	http://www.ted.com/talks/view/id/38/transcript?language=en	2	2005	TED2005	0:22:56	11/14/06	"TED Brain Trust,robots,biotech,invention,culture,science,future,technology,business"
39	Aubrey de Grey	A roadmap to end aging	http://www.ted.com/talks/view/id/39	"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted."	http://www.ted.com/talks/view/id/39/transcript?language=en	7	2005	TEDGlobal 2005	0:22:45	10/2/06	"biotech,disease,health care,aging,science,engineering,future,technology"
40	Frans Lanting	The story of life in photographs	http://www.ted.com/talks/view/id/40	"In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass."	http://www.ted.com/talks/view/id/40/transcript?language=en	2	2005	TED2005	0:16:17	4/5/07	"photography,evolution,fish,animals,nature,design,storytelling,art"
41	Nicholas Negroponte	One Laptop per Child	http://www.ted.com/talks/view/id/41	"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop."""	http://www.ted.com/talks/view/id/41/transcript?language=en	2	2006	TED2006	0:17:37	8/1/06	"One Laptop Per Child,philanthropy,education,social change,entrepreneur,children,design,global issues,technology"
42	Martin Rees	Is this our final century?	http://www.ted.com/talks/view/id/42	"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development."	http://www.ted.com/talks/view/id/42/transcript?language=en	7	2005	TEDGlobal 2005	0:17:26	1/17/07	"cosmos,complexity,universe,astronomy,time,social change,leadership,science,climate change,technology"
43	Paul Bennett	Design is in the details	http://www.ted.com/talks/view/id/43	"Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems."	http://www.ted.com/talks/view/id/43/transcript?language=en	7	2005	TEDGlobal 2005	0:14:10	4/5/07	"industrial design,product design,design,business"
44	Nick Bostrom	A philosophical quest for our biggest problems	http://www.ted.com/talks/view/id/44	Oxford philosopher and transhumanist Nick Bostrom examines the future of humankind and asks whether we might alter the fundamental nature of humanity to solve our most intrinsic problems.	http://www.ted.com/talks/view/id/44/transcript?language=en	7	2005	TEDGlobal 2005	0:16:52	4/5/07	"happiness,philosophy,biotech,culture,future,global issues,technology"
45	Sirena Huang	An 11-year-old's magical violin	http://www.ted.com/talks/view/id/45	"Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument."	http://www.ted.com/talks/view/id/45/transcript?language=en	2	2006	TED2006	0:24:41	8/8/06	"violin,wunderkind,youth,music,entertainment,performance"
46	Jennifer Lin	"Improvising on piano, aged 14"	http://www.ted.com/talks/view/id/46	"Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes."	http://www.ted.com/talks/view/id/46/transcript?language=en	2	2004	TED2004	0:24:05	8/8/06	"wunderkind,music,piano,entertainment,performance,creativity"
47	David Deutsch	Chemical scum that dream of distant quasars	http://www.ted.com/talks/view/id/47	"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem."	http://www.ted.com/talks/view/id/47/transcript?language=en	7	2005	TEDGlobal 2005	0:19:00	9/12/06	"cosmos,universe,physics,culture,science,climate change,environment,global issues,technology"
48	Saul Griffith	Everyday inventions	http://www.ted.com/talks/view/id/48	"Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab -- from ""smart rope"" to a house-sized kite for towing large loads."	http://www.ted.com/talks/view/id/48/transcript?language=en	2	2006	TED2006	0:14:29	2/19/07	"MacArthur grant,open-source,invention,product design,innovation,design,materials,technology,collaboration"
49	Joshua Prince-Ramus	Behind the design of Seattle's library	http://www.ted.com/talks/view/id/49	"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas."	http://www.ted.com/talks/view/id/49/transcript?language=en	2	2006	TED2006	0:19:58	7/10/06	"library,culture,architecture,design,collaboration"
50	Stefan Sagmeister	Happiness by design	http://www.ted.com/talks/view/id/50	Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy -- and notes how many of these moments have to do with good design.	http://www.ted.com/talks/view/id/50/transcript?language=en	2	2004	TED2004	0:15:30	4/5/07	"typography,TED Brain Trust,happiness,design,art"
51	Amory Lovins	Winning the oil endgame	http://www.ted.com/talks/view/id/51	"In this energizing talk, Amory Lovins lays out his simple plan for weaning the US off oil and revitalizing the economy."	http://www.ted.com/talks/view/id/51/transcript?language=en	2	2005	TED2005	0:19:44	12/11/07	"MacArthur grant,economics,energy,science,environment,green,technology,business"
53	Majora Carter	Greening the ghetto	http://www.ted.com/talks/view/id/53	"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy."	http://www.ted.com/talks/view/id/53/transcript?language=en	2	2006	TED2006	0:18:36	6/27/06	"MacArthur grant,pollution,activism,politics,inequality,cities,environment,green,business"
54	Cameron Sinclair	My wish: A call for open-source architecture	http://www.ted.com/talks/view/id/54	"Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design."	http://www.ted.com/talks/view/id/54/transcript?language=en	2	2006	TED2006	0:23:34	7/25/06	"philanthropy,open-source,invention,culture,activism,architecture,disaster relief,design,global issues,collaboration"
55	Jehane Noujaim	My wish: A global day of film	http://www.ted.com/talks/view/id/55	Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.	http://www.ted.com/talks/view/id/55/transcript?language=en	2	2006	TED2006	0:25:38	7/25/06	"TED Prize,film,culture,social change,entertainment,storytelling,global issues,art,peace"
56	Edward Burtynsky	My wish: Manufactured landscapes and green education	http://www.ted.com/talks/view/id/56	"Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability."	http://www.ted.com/talks/view/id/56/transcript?language=en	2	2005	TED2005	0:34:25	10/31/06	"TED Prize,pollution,photography,culture,social change,cities,environment,design,art"
57	Robert Fischell	My wish: Three unusual medical inventions	http://www.ted.com/talks/view/id/57	"Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system."	http://www.ted.com/talks/view/id/57/transcript?language=en	2	2005	TED2005	0:26:49	10/31/06	"TED Prize,invention,disease,health care,medicine,science,technology,business"
58	Larry Brilliant	My wish: Help me stop pandemics	http://www.ted.com/talks/view/id/58	"Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread."	http://www.ted.com/talks/view/id/58/transcript?language=en	2	2006	TED2006	0:25:50	7/25/06	"TED Prize,ebola,disease,health,science,global issues,technology,collaboration"
59	Bono	My wish: Three actions for Africa	http://www.ted.com/talks/view/id/59	"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency."	http://www.ted.com/talks/view/id/59/transcript?language=en	2	2005	TED2005	0:27:52	10/31/06	"philanthropy,AIDS,Africa,poverty,activism,politics,social change,leadership,entertainment,global issues"
60	Anna Deavere Smith	Four American characters	http://www.ted.com/talks/view/id/60	"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show ""On the Road: A Search for American Character."""	http://www.ted.com/talks/view/id/60/transcript?language=en	2	2005	TED2005	0:23:05	2/9/07	"MacArthur grant,sports,race,performance art,theater,interview,culture,United States,history,entertainment,performance,storytelling"
61	Steven Johnson	"How the ""ghost map"" helped end a killer disease"	http://www.ted.com/talks/view/id/61	"Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society."	http://www.ted.com/talks/view/id/61/transcript?language=en	11	2006	TEDSalon 2006	0:10:03	1/31/07	"map,disease,health,culture,history,science,cities,urban planning,design"
62	Bjorn Lomborg	Global priorities bigger than climate change	http://www.ted.com/talks/view/id/62	"Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers."	http://www.ted.com/talks/view/id/62/transcript?language=en	2	2005	TED2005	0:16:41	1/2/07	"AIDS,Africa,economics,culture,disaster relief,choice,future,climate change,environment,business"
63	Charles Leadbeater	The era of open innovation	http://www.ted.com/talks/view/id/63	"In this deceptively casual talk, Charles Leadbeater weaves a tight argument that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't."	http://www.ted.com/talks/view/id/63/transcript?language=en	7	2005	TEDGlobal 2005	0:19:01	1/31/07	"open-source,invention,economics,product design,culture,media,innovation,business,collaboration"
64	Eve Ensler	Happiness in body and soul	http://www.ted.com/talks/view/id/64	"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness."	http://www.ted.com/talks/view/id/64/transcript?language=en	2	2004	TED2004	0:20:25	9/6/06	"gender,happiness,theater,culture,women,entertainment,performance,storytelling,global issues"
65	Jeff Han	The radical promise of the multi-touch interface	http://www.ted.com/talks/view/id/65	"Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click."	http://www.ted.com/talks/view/id/65/transcript?language=en	2	2006	TED2006	0:08:47	8/1/06	"interface design,demo,design,technology"
66	Ken Robinson	Do schools kill creativity?	http://www.ted.com/talks/view/id/66	Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.	http://www.ted.com/talks/view/id/66/transcript?language=en	2	2006	TED2006	0:19:24	6/27/06	"dance,education,culture,parenting,children,teaching,creativity"
67	Peter Donnelly	How juries are fooled by statistics	http://www.ted.com/talks/view/id/67	Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.	http://www.ted.com/talks/view/id/67/transcript?language=en	7	2005	TEDGlobal 2005	0:21:20	11/8/06	"statistics,genetics,culture,science,technology"
68	Robert Wright	Progress is not a zero-sum game	http://www.ted.com/talks/view/id/68	"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today."	http://www.ted.com/talks/view/id/68/transcript?language=en	2	2006	TED2006	0:19:11	1/17/07	"culture,war,global issues,collaboration"
69	Wade Davis	Dreams from endangered cultures	http://www.ted.com/talks/view/id/69	"With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate."	http://www.ted.com/talks/view/id/69/transcript?language=en	2	2003	TED2003	0:22:01	1/9/07	"anthropology,photography,film,culture,language,environment,global issues"
70	Richard St. John	8 secrets of success	http://www.ted.com/talks/view/id/70	Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.	http://www.ted.com/talks/view/id/70/transcript?language=en	2	2005	TED2005	0:03:30	12/14/06	"happiness,success,education,psychology,culture,work,entertainment,business"
71	Rick Warren	A life of purpose	http://www.ted.com/talks/view/id/71	"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good."	http://www.ted.com/talks/view/id/71/transcript?language=en	2	2006	TED2006	0:21:02	7/18/06	"philanthropy,Christianity,God,happiness,motivation,culture,religion,leadership"
72	Chris Anderson	Technology's long tail	http://www.ted.com/talks/view/id/72	"Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous."	http://www.ted.com/talks/view/id/72/transcript?language=en	2	2004	TED2004	0:14:18	4/27/07	"marketing,economics,culture,entertainment,technology,business"
73	Carl HonorÃ©	In praise of slowness	http://www.ted.com/talks/view/id/73	"Journalist Carl Honore believes the Western world's emphasis on speed erodes health, productivity and quality of life. But there's a backlash brewing, as everyday people start putting the brakes on their all-too-modern lives."	http://www.ted.com/talks/view/id/73/transcript?language=en	7	2005	TEDGlobal 2005	0:19:15	2/28/07	"happiness,work-life balance,health,psychology,culture,personal growth,potential,choice,parenting"
74	Alex Steffen	The route to a sustainable future	http://www.ted.com/talks/view/id/74	"Worldchanging.com founder Alex Steffen argues that reducing humanityâ€™s ecological footprint is incredibly vital now, as the western consumer lifestyle spreads to developing countries."	http://www.ted.com/talks/view/id/74/transcript?language=en	7	2005	TEDGlobal 2005	0:17:34	4/5/07	"alternative energy,invention,culture,cities,environment,sustainability,design,global issues,business,collaboration"
75	Sasa Vucinic	Why we should invest in a free press	http://www.ted.com/talks/view/id/75	"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds."""	http://www.ted.com/talks/view/id/75/transcript?language=en	7	2005	TEDGlobal 2005	0:18:00	10/18/06	"philanthropy,investment,culture,media,global issues,business"
76	Susan Savage-Rumbaugh	The gentle genius of bonobos	http://www.ted.com/talks/view/id/76	"Savage-Rumbaugh's work with bonobo apes, which can understand spoken language and learn tasks by watching, forces the audience to rethink how much of what a species can do is determined by biology -- and how much by cultural exposure."	http://www.ted.com/talks/view/id/76/transcript?language=en	2	2004	TED2004	0:17:25	4/5/07	"apes,education,genetics,intelligence,evolution,biology,culture,language,animals"
